App#,Roll#,Score,UR-Rank,Category-Ranks
N26115297,101118075345,104.6,652.0,
N26145183,141546063414,104.6,653.0,
N26059706,102578058966,104.45,654.0,
N26035542,134051065542,104.45,655.0,
N26092189,142226108700,104.45,656.0,OBC-148
N26055833,114449080529,104.45,657.0,OBC-149
N26091072,112176035545,104.35,658.0,OBC-150
N26120701,124868095096,104.3,659.0,OBC-151
N26030561,137201073100,104.3,660.0,OBC-152
N26146978,107945106256,104.3,661.0,
N26062064,113299121222,104.3,662.0,
N26137456,108588047906,104.3,663.0,
N26049387,140949024979,104.2,664.0,
N26110428,108553044901,104.2,665.0,
N26146131,116678113726,104.15,666.0,SC-25
N26064539,109208002634,104.05,667.0,OBC-153
N26104764,140662065102,104.05,668.0,OBC-154
N26011255,137492020804,104.05,669.0,
N26035801,109531118267,103.9,670.0,
N26046019,108050084176,103.9,671.0,OBC-155
N26025895,140220014194,103.9,672.0,OBC-156
N26147811,108481043209,103.9,673.0,OBC-157
N26099762,134028119148,103.9,674.0,
N26081680,100781074691,103.9,675.0,OBC-158
N26067743,141560064661,103.9,675.0,OBC-158
N26068238,108121060998,103.9,677.0,
N26049056,114441010553,103.9,678.0,
N26111399,100781074340,103.9,678.0,
